,sampling/episodes_per_s,sampling/samples_per_s,sampling/total_time_s,total_iterations,total_episodes,total_samples,learning/total_time_s,eval/mean_reward,eval/0/mean_reward,eval/1/mean_reward,eval/episodes,eval/samples,total_time_s
88,179.05808357273963,1432.464668581917,89.68439102172852,89,15800,126400,87.23471260070801,1.8000000000000003,0.9000000000000001,0.9000000000000001,10,80,183.03283739089966
89,185.1228755611158,1480.9830044889263,90.7647545337677,90,16000,128000,87.95558881759644,13.8,6.9,6.9,10,80,184.91542720794678
90,181.5477490295106,1452.381992236085,91.86639308929443,91,16200,129600,88.69533848762512,11.799999999999999,5.8999999999999995,5.8999999999999995,10,80,186.81397533416748
91,183.2912465545251,1466.3299724362007,92.9575526714325,92,16400,131200,89.49783515930176,15.8,7.9,7.9,10,80,188.78261542320251
92,184.53900490792418,1476.3120392633934,94.04133439064026,93,16600,132800,90.3174786567688,13.8,6.9,6.9,10,80,190.74113488197327
93,202.2264024221052,1617.8112193768416,95.03032493591309,94,16800,134400,91.27755570411682,13.8,6.9,6.9,10,80,192.771324634552
94,184.7383448529501,1477.9067588236007,96.11293721199036,95,17000,136000,92.08118057250977,11.799999999999999,5.8999999999999995,5.8999999999999995,10,80,194.71321606636047
95,178.53788749310152,1428.3030999448122,97.23314762115479,96,17200,137600,92.96133208274841,9.799999999999999,4.8999999999999995,4.8999999999999995,10,80,196.76972484588623
96,204.38145711370368,1635.0516569096294,98.21170997619629,97,17400,139200,93.9157166481018,3.8,1.9,1.9,10,80,198.77563762664795
97,207.0606309461131,1656.4850475689047,99.17761063575745,98,17600,140800,95.1139268875122,13.8,6.9,6.9,10,80,200.99504327774048
98,208.51286270542485,1668.1029016433988,100.13678407669067,99,17800,142400,96.15412139892578,11.799999999999999,5.8999999999999995,5.8999999999999995,10,80,203.07610487937927
99,189.618784913786,1516.950279310288,101.19153189659119,100,18000,144000,96.93568825721741,7.799999999999999,3.8999999999999995,3.8999999999999995,10,80,205.02612829208374
100,202.85352729896698,1622.8282183917358,102.17746496200562,101,18200,145600,97.67600440979004,13.8,6.9,6.9,10,80,206.82615637779236
101,180.1723799093576,1441.3790392748608,103.28751301765442,102,18400,147200,98.43224453926086,7.799999999999999,3.8999999999999995,3.8999999999999995,10,80,208.76007413864136
102,187.04297306312623,1496.3437845050098,104.35678601264954,103,18600,148800,99.22069239616394,13.8,6.9,6.9,10,80,210.67736291885376
103,173.95702817990846,1391.6562254392677,105.50649523735046,104,18800,150400,100.23217415809631,11.799999999999999,5.8999999999999995,5.8999999999999995,10,80,212.90956139564514
104,195.89294483892897,1567.1435587114318,106.52746105194092,105,19000,152000,100.97896218299866,3.8,1.9,1.9,10,80,214.73836255073547
105,192.53660294384298,1540.2928235507438,107.56622457504272,106,19200,153600,101.77288007736206,3.8,1.9,1.9,10,80,216.63508319854736
106,188.70081660950714,1509.6065328760571,108.62610340118408,107,19400,155200,102.56101059913635,1.8000000000000003,0.9000000000000001,0.9000000000000001,10,80,218.5679886341095
107,180.58079166925887,1444.646333354071,109.73364090919495,108,19600,156800,103.38552045822144,1.8000000000000003,0.9000000000000001,0.9000000000000001,10,80,220.5546395778656
108,180.81456792481177,1446.5165433984942,110.83974647521973,109,19800,158400,104.16884970664978,9.799999999999999,4.8999999999999995,4.8999999999999995,10,80,222.5008614063263
109,185.74005893298875,1485.92047146391,111.91652011871338,110,20000,160000,104.92754173278809,5.799999999999999,2.8999999999999995,2.8999999999999995,10,80,224.39217257499695
110,185.54659618117572,1484.3727694494057,112.99441647529602,111,20200,161600,105.72186136245728,11.799999999999999,5.8999999999999995,5.8999999999999995,10,80,226.34395718574524
